127.0.0.1 - - [22/Feb/2021:09:42:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:42:49 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 200 379
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:42:49 +0900] "GET /webApp/img/dog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:42:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:16 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:19 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:20 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:20 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:20 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:20 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:20 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:20 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:21 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:21 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:49 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 200 414
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:43:49 +0900] "GET /webApp/img/coffee.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:47:24 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:47:32 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:48:42 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:51:13 +0900] "GET /webApp/HTML5CSS3/css06_margin_padding.html HTTP/1.1" 200 764
